text,label
"a farce of a parody of a comedy of a premise , it is n't a comparison to reality so much as it is a commentary about our knowledge of films",0
"like all of egoyan 's work , ararat is fiercely intelligent and uncommonly ambitious",1
"parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness",1
crystal and de niro manage to squeeze out some good laughs but not enough to make this silly con job sing,0
there 's something poignant about an artist of 90 plus years taking the effort to share his impressions of life and loss and time and art with us,1
all of the filmmakers' calculations ca n't rescue brown sugar from the curse of blandness,0
too contrived to be as naturally charming as it needs to be,0
"patchy combination of soap opera , low tech magic realism and , at times , ploddingly sociological commentary",0
"a predictable , manipulative stinker the story passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge",0
"the waterlogged script plumbs uncharted depths of stupidity , incoherence and sub sophomoric sexual banter",0
"there 's something with potential here , but the movie decides , like lavinia , to go the conservative route",0
a rehash of every gangster movie from the past decade,0
"it 's sobering , particularly if anyone still thinks this conflict can be resolved easily , or soon",1
"the humor is forced and heavy handed , and occasionally simply unpleasant",0
"the tug of war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes",0
an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,1
"it 's better suited for the history or biography channel , but there 's no arguing the tone of the movie it leaves a bad taste in your mouth and questions on your mind",0
"full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny",0
"stevenson 's performance is at once clueless and fiercely committed , a volatile combination",1
"when the painted backdrops in a movie are more alive than its characters , you know you 're in trouble",0
"even if you do n't think kissinger 's any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch",1
"exhilarating , funny and fun",1
the movie is obviously a labour of love so howard appears to have had free rein to be as pretentious as he wanted,0
this 100 minute movie only has about 25 minutes of decent material,0
familiar but utterly delightful,1
"a broad , melodramatic estrogen opera that 's pretty toxic in its own right",0
"manages to be original , even though it rips off many of its ideas",1
intriguing and stylish,1
oddly compelling,1
if sinise 's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over,0
the iditarod lasts for days this just felt like it did,0
"no one can doubt the filmmakers' motives , but the guys still feels counterproductive",0
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism",1
"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future",1
great character interaction,1
"in the real world , an actor this uncharismatically beautiful would have a r sum loaded with credits like girl in bar 3",0
an hour and a half of joyful solo performance,1
"a grating , emaciated flick",0
"a genuinely funny ensemble comedy that also asks its audience in a heartwarming , nonjudgmental kind of way to consider what we value in our daily lives",1
it becomes gimmicky instead of compelling interview loses its overall sense of mystery and becomes a tv episode rather than a documentary that you actually buy into,0
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature length sitcom replete with stereotypical familial quandaries there 's a sheer unbridled delight in the way the story unfurls",1
"in addition to gluing you to the edge of your seat , changing lanes is also a film of freshness , imagination and insight",1
the film is hampered by its predictable plot and paper thin supporting characters,0
stumbles over every cheap trick in the book trying to make the outrage come even easier,0
sits uneasily as a horror picture but finds surprising depth in its look at the binds of a small family,1
a forceful drama of an alienated executive who re invents himself,1
some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny,0
"the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds",1
"what 's most memorable about circuit is that it 's shot on digital video , whose tiny camera enables shafer to navigate spaces both large and small with considerable aplomb",1
"watching haneke 's film is , aptly enough , a challenge and a punishment but watching huppert , a great actress tearing into a landmark role , is riveting",1
represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema,1
leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing,1
"it helps that the central performers are experienced actors , and that they know their roles so well",1
kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business,0
"the time machine is a movie that has no interest in itself it does n't believe in itself , it has no sense of humor it 's just plain bored",0
"how i killed my father would be a rarity in hollywood it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters including the supporting ones",1
"as a witness to several greek american weddings but , happily , a victim of none i can testify to the comparative accuracy of ms vardalos' memories and insights",1
an annoying orgy of excess and exploitation that has no point and goes nowhere,0
"it 's mighty tedious for the viewer who has to contend with unpleasant characters , hit and miss performances and awkwardly staged scenes",0
its sheer dynamism is infectious,1
it 's hard to believe these jokers are supposed to have pulled off four similar kidnappings before,0
"louiso lets the movie dawdle in classic disaffected indie film mode , and brother hoffman 's script stumbles over a late inning twist that just does n't make sense",0
they should have called it gutterball,0
"the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful",1
"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it 's exhausting to watch",0
"at its most basic , this cartoon adventure is that wind in the hair exhilarating",1
somehow both wildly implausible and strangely conventional,0
"reggio 's trippy , ambitious downer can also sometimes come across like nothing more than a glorified nike ad",0
"in addition to hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday",1
"one of the best , most understated performances of jack nicholson 's career",1
"a rock solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father and son dynamics",1
"there may have been a good film in trouble every day , but it is not what is on the screen",0
"without a fresh infusion of creativity , 4ever is neither a promise nor a threat so much as wishful thinking",0
"brown sugar signals director rick famuyiwa 's emergence as an articulate , grown up voice in african american cinema",1
nothing more than a run of the mill action flick,0
"flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising",0
"both flawed and delayed , martin scorcese 's gangs of new york still emerges as his most vital work since goodfellas",1
"scooby doo does n't know if it wants to be a retro refitting exercise in campy recall for older fans or a silly , nickelodeon esque kiddie flick",0
this dramatically shaky contest of wills only reiterates the old hollywood saw evil is interesting and good is boring,0
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images",1
"it 's got the brawn , but not the brains",0
"feels like nothing quite so much as a middle aged moviemaker 's attempt to surround himself with beautiful , half naked women",0
"this time out , sade is an unsettlingly familiar figure in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self interested",1
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure,1
"the problem with this film is that it lacks focus i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand",0
like being trapped at a perpetual frat party how can something so gross be so boring \?,0
a passionately inquisitive film determined to uncover the truth and hopefully inspire action,1
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror action hybrid,0
"moretti is the rare common man artist who 's wise enough to recognize that there are few things in this world more complex and , as it turns out , more fragile than happiness",1
the first fatal attraction was vile enough do we really need the tiger beat version \?,0
a decidedly mixed bag,0
"sorvino is delightful in the central role she nearly glows with enthusiasm , sensuality and a conniving wit",1
genuinely unnerving,1
zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight,0
"this pep talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life",0
"whenever its story is n't bogged down by idiocy involving the cia and a lost u s satellite , hunter starring irwin and his american wife colleague , terri is a movie children should enjoy",0
"at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin",0
"if a horror movie 's primary goal is to frighten and disturb , then they works spectacularly well a shiver inducing , nerve rattling ride",1
"with zoe clarke williams 's lackluster thriller new best friend , who needs enemies \? just another generic drama that has nothing going for it other than its exploitive array of obligatory cheap thrills",0
too slick and manufactured to claim street credibility,0
the powder blues and sun splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly dancing clubs,1
a thriller without a lot of thrills,0
a poky and pseudo serious exercise in sham actor workshops and an affected malaise,0
contrived pastiche of caper clich s,0
"well made but uninvolving , bloodwork is n't a terrible movie , just a stultifyingly obvious one an unrewarding collar for a murder mystery",0
a little more intensity and a little less charm would have saved this film a world of hurt,0
it 's hard to understand why anyone in his right mind would even think to make the attraction a movie and it 's harder still to believe that anyone in his right mind would want to see the it,0
"the first tunisian film i have ever seen , and it 's also probably the most good hearted yet sensual entertainment i'm likely to see all year",1
all the characters are clinically depressed and have abandoned their slim hopes and dreams,0
"creates a visceral sense of its characters' lives and conflicted emotions that carries it far above what could have been a melodramatic , lifetime channel style anthology",1
"generic slasher movie nonsense , but it 's not without style",0
"frankly , it 's kind of insulting , both to men and women and it 's not that funny which is just generally insulting",0
a charming and funny story of clashing cultures and a clashing mother daughter relationship,1
"the film boasts at least a few good ideas and features some decent performances , but the result is disappointing",0
"maybe leblanc thought , hey , the movie about the baseball playing monkey was worse",0
an instantly forgettable snow and stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday season product,0
"a gorgeous , witty , seductive movie",1
quite endearing,1
"the film has a few cute ideas and several modest chuckles but it is n't exactly kiddie friendly alas , santa is more ho hum than ho ho ho and the snowman \( who never gets to play that flute \) has all the charm of a meltdown",0
murder by numbers just does n't add up,0
"none of this sounds promising and , indeed , the first half of sorority boys is as appalling as any 'comedy' to ever spill from a projector 's lens",0
this time kaufman 's imagination has failed him,0
"despite the film 's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity",1
"paul bettany is good at being the ultra violent gangster wannabe , but the movie is certainly not number 1",0
"a combination of standard , stiff tv style animation and snazzy looking digital effects that do little to disguise the fact that the characters barely move",0
these guys seem great to knock back a beer with but they 're simply not funny performers,0
"love may have been in the air onscreen , but i certainly was n't feeling any of it",0
"the film , while not exactly assured in its execution , is notable for its sheer audacity and openness",1
a series of tales told with the intricate preciseness of the best short story writing,1
one can only assume that the jury who bestowed star hoffman 's brother gordy with the waldo salt screenwriting award at 2002 's sundance festival were honoring an attempt to do something different over actually pulling it off,0
did the film inform and educate me \? yes did it move me to care about what happened in 1915 armenia \? no and that is where ararat went astray,0
"despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair",0
"has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested",1
clooney directs this film always keeping the balance between the fantastic and the believable,1
"a delectable and intriguing thriller filled with surprises , read my lips is an original this is a story of two misfits who do n't stand a chance alone , but together they are magnificent",1
press the delete key,0
an intoxicating experience,1
"the drama was so uninspiring that even a story immersed in love , lust , and sin could n't keep my attention",0
manages to show life in all of its banality when the intention is quite the opposite,0
it would work much better as a one hour tv documentary,0
writer director m night shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable,1
"stuffed to the brim with ideas , american instigator michael moore 's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition",1
"while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire",1
"it 's a glorified sitcom , and a long , unfunny one at that",0
a preposterously melodramatic paean to gang member teens in brooklyn circa 1958,0
"an entertaining british hybrid of comedy , caper thrills and quirky romance",1
"this movie has a strong message about never giving up on a loved one , but it 's not an easy movie to watch and will probably disturb many who see it",1
arguably the year 's silliest and most incoherent movie,0
those with a modicum of patience will find in these characters' foibles a timeless and unique perspective,1
"whether writer director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting",1
"the actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen",0
you can practically hear george orwell turning over,0
"it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout",1
you have no affinity for most of the characters nothing about them is attractive what they see in each other also is difficult to fathom,0
"rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic",1
its rawness and vitality give it considerable punch,1
"a brisk , reverent , and subtly different sequel",1
"the piano teacher , like its title character , is repellantly out of control",0
what elevates the movie above the run of the mill singles blender is its surreal sense of humor and technological finish,1
vile and tacky are the two best adjectives to describe ghost ship,0
"massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner \( and ultimately the victim \) of history",1
"despite some comic sparks , welcome to collinwood never catches fire",0
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level",0
the movie is ingenious fun see it,1
wow i have not been this disappointed by a movie in a long time,0
a moody horror thriller elevated by deft staging and the director 's well known narrative gamesmanship,1
a dreary rip off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans,0
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason dixon line,0
offers enough playful fun to entertain the preschool set while embracing a wholesome attitude,1
"there 's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity",0
"gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self hating , self destructive ways",1
this is no waterboy !,0
"lazy , miserable and smug this is one of the biggest disappointments of the year",0
"i'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap clich",0
a confusing drudgery,0
"some elements of it really blow the big one , but other parts are decent",0
"given how heavy handed and portent heavy it is , this could be the worst thing soderbergh has ever done",0
could easily be called the best korean film of 2002,1
it has all the excitement of eating oatmeal,0
"ultimately , the film amounts to being lectured to by tech geeks , if you 're up for that sort of thing",0
"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip",0
a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society,1
real women have curves does n't offer any easy answers,1
"one of those energetic surprises , an original that pleases almost everyone who sees it",1
"full of profound , real life moments that anyone can relate to , it deserves a wide audience",1
"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking",1
a stale retread of the '53 original,0
what frei gives us is a man who uses the damage of war far more often than the warfare itself to create the kind of art shots that fill gallery shows,0
"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement and vin diesel is the man",1
"a fun little timewaster , helped especially by the cool presence of jean reno",1
"a hypnotic portrait of this sad , compulsive life",1
"what is 100 missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting",0
amazingly dopey,0
rosenthal \( halloween ii \) seems to have forgotten everything he ever knew about generating suspense,0
"a sly female empowerment movie , although not in a way anyone would expect",1
it 's a rare window on an artistic collaboration,1
is it a comedy \? a drama \? a romance \? a cartoon \?,0
"it 's a square , sentimental drama that satisfies , as comfort food often can",1
"an even more predictable , cliche ridden endeavor than its predecessor",0
this flat run at a hip hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines,0
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic",1
"this re do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against",0
"i was hoping that it would be sleazy and fun , but it was neither",0
most of the dialogue made me want to pack raw dough in my ears,0
"davis wants to cause his audience an epiphany , yet he refuses to give us real situations and characters",0
"an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci fi thriller",1
cho continues her exploration of the outer limits of raunch with considerable brio,1
suffers from a flat script and a low budget,0
"not as good as the full monty , but a really strong second effort",1
an extraordinary swedish film about the soul adventure of marriage the kind of intimate and character driven film that bille august does best,1
"a static and sugary little half hour , after school special about interfaith understanding , stretched out to 90 minutes",0
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure",0
"if it were any more of a turkey , it would gobble in dolby digital stereo if nothing else , rollerball 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j",0
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service",0
this long and relentlessly saccharine film is a clear case of preaching to the converted,0
"visually , 'santa clause 2' is wondrously creative",1
"the characters , cast in impossibly contrived situations , are totally estranged from reality",0
robert harmon 's less is more approach delivers real bump in the night chills his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,1
"a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that",1
schrader examines crane 's decline with unblinking candor,1
is an arthritic attempt at directing by callie khouri i had to look away this was god awful,0
"the actresses may have worked up a back story for the women they portray so convincingly , but viewers do n't get enough of that background for the characters to be involving as individuals rather than types",0
"it is life affirming and heartbreaking , sweet without the decay factor , funny and sad",1
what an embarrassment,0
"jir hubac 's script is a gem his characters are engaging , intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality",1
"boldly engineering a collision between tawdry b movie flamboyance and grandiose spiritual anomie , rose 's film , true to its source material , provides a tenacious demonstration of death as the great equalizer",1
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel to reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1
there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye,1
culkin turns his character into what is basically an anti harry potter right down to the gryffindor scarf,0
done in mostly by a weak script that ca n't support the epic treatment,0
"the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student where 's pauly shore as the rocket scientist \?",0
"this is a movie filled with unlikable , spiteful idiots whether or not their friendship is salvaged makes no difference in the least",0
"branagh , in his most forceful non shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit",1
"it may not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding",1
you can thank me for this i saw juwanna mann so you do n't have to,0
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target",0
"as spent screen series go , star trek nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up and there 's nothing to drink",0
it 's hard not to feel you 've just watched a feature length video game with some really heavy back story,0
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff",0
"portentous and pretentious , the weight of water is appropriately titled , given the heavy handedness of it drama",0
most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement,0
"occasionally melodramatic , it 's also extremely effective",1
"the laser projected paintings provide a spell casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them",1
"barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three hour endurance test built around an hour 's worth of actual material",0
"sodden and glum , even in those moments where it 's supposed to feel funny and light",0
those who do n't entirely 'get' godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy,1
the script was reportedly rewritten a dozen times either 11 times too many or else too few,0
what more can be expected from a college comedy that 's target audience has n't graduated from junior high school \?,0
"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life wherever it takes you",1
"a film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy",0
"a passable romantic comedy , in need of another couple of passes through the word processor",0
"a summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution",0
"the movie is a desperate miscalculation it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time",0
"no amount of arty theorizing the special effects are 'german expressionist , ' according to the press notes can render it anything but laughable",0
"fred schepisi 's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen with a cast of a list brit actors , it is worth searching out",1
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal",1
"first time writer director serry shows a remarkable gift for storytelling with this moving , effective little film",1
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t shirt and shower scenes",0
"while the film is not entirely successful , it still manages to string together enough charming moments to work",1
"falsehoods pile up , undermining the movie 's reality and stifling its creator 's comic voice",0
"a beyond lame satire , teddy bears' picnic ranks among the most pitiful directing debuts by an esteemed writer actor",0
remember when bond had more glamour than clamor \? no more,0
"a movie that , quite simply , should n't have been made",0
a bad movie that happened to good actors,0
"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships",1
"a formula family tearjerker told with a heavy irish brogue accentuating , rather than muting , the plot 's saccharine thrust",0
reaches wholly believable and heart wrenching depths of despair,1
"a waterlogged version of 'fatal attraction' for the teeny bopper set a sad , soggy potboiler that wastes the talents of its attractive young leads",0
it 's rare that a movie can be as intelligent as this one is in every regard except its storyline everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious,0
"it smacks of purely commercial motivation , with no great love for the original",0
it made me want to wrench my eyes out of my head and toss them at the screen,0
brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special,1
"a hard look at one man 's occupational angst and its subsequent reinvention , a terrifying study of bourgeois desperation worthy of claude chabrol",1
do n't be fooled by the impressive cast list eye see you is pure junk,0
"i wish i could say thank god it 's friday , but the truth of the matter is i was glad when it was over",0
"it 's not only dull because we 've seen eddie murphy do the genial rogue shtick to death , but because the plot is equally hackneyed",0
a small movie with a big impact,1
"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they are n't able to muster a lot of emotional resonance in the cold vacuum of space",0
it 's made with deftly unsettling genre flair,1
"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness and we do n't avert our eyes for a moment",1
"there 's no real reason to see it , and no real reason not to",0
a delirious celebration of the female orgasm,1
a mesmerizing cinematic poem from the first frame to the last,1
what could have been right at home as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination,0
"rich in atmosphere of the post war art world , it manages to instruct without reeking of research library dust",1
brilliantly explores the conflict between following one 's heart and following the demands of tradition,1
a strangely compelling and brilliantly acted psychological drama,1
"fear permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately cowardly autocritique",0
cho 's fans are sure to be entertained it 's only fair in the interest of full disclosure to say that on the basis of this film alone i'm not one of them,0
"hilarious , acidic brit comedy",1
"all three actresses are simply dazzling , particularly balk , who 's finally been given a part worthy of her considerable talents",1
"the tuxedo was n't just bad it was , as my friend david cross would call it , 'hungry man portions of bad'",0
"the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her skin",1
"an unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage",1
"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot",0
"nearly surreal , dabbling in french , this is no simple movie , and you 'll be taking a risk if you choose to see it i enjoyed the ride \( bumps and all \) , creamy depth , and ultimate theme",1
"merely as a technical , logistical feat , russian ark marks a cinematic milestone",1
a generic international version of a typical american horror film,0
marvelously entertaining and deliriously joyous documentary,1
"be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards",0
"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well detailed characters",1
a fascinating case study of flower power liberation and the price that was paid for it,1
the film is darkly funny in its observation of just how much more grueling and time consuming the illusion of work is than actual work,1
"what madonna does here ca n't properly be called acting more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once",0
"eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm does n't do a load of good",0
"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for",0
"the movie takes itself too seriously and , as a result , it makes for only intermittent fun",0
it 's not too fast and not too slow it 's not too racy and it 's not too offensive it 's not too much of anything,0
the most anti human big studio picture since 3000 miles to graceland,0
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks,0
"serviceable at best , slightly less than serviceable at worst",0
"the film would work much better as a video installation in a museum , where viewers would be free to leave immediately",0
"good , solid storytelling",1
barely goes beyond comic book status,0
"payne has created a beautiful canvas , and nicholson proves once again that he 's the best brush in the business",1
seagal is painfully foolish in trying to hold onto what 's left of his passe' chopsocky glory,0
fred schepisi 's tale of four englishmen facing the prospect of their own mortality views youthful affluence not as a lost ideal but a starting point,1
"it 's a lot to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's",0
this flick is about as cool and crowd pleasing as a documentary can get,1
i 'd be hard pressed to think of a film more cloyingly sappy than evelyn this year,0
this is the type of movie best enjoyed by frat boys and college kids while sucking on the bong and downing one alcoholic beverage after another,0
"while there 's something intrinsically funny about sir anthony hopkins saying 'get in the car , bitch , ' this jerry bruckheimer production has little else to offer",0
like the chelsea 's denizens burdette 's collage form scenario tends to over romanticize the spiritual desolation of the struggling artiste,0
"as part of mr dong 's continuing exploration of homosexuality in america , family fundamentals is an earnest study in despair",1
if only merchant paid more attention the story,0
a truly wonderful tale combined with stunning animation,1
"twenty years after its first release , e t remains the most wondrous of all hollywood fantasies and the apex of steven spielberg 's misunderstood career",1
"a tired , predictable , bordering on offensive , waste of time , money and celluloid",0
astonishingly skillful and moving it could become a historically significant work as well as a masterfully made one,1
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western",1
"the vintage is pure '87 , with a halfhearted twist on its cautionary message fatal attraction do n't have an affair with a nutjob unfaithful do n't if you 're married to one",0
"writer director walter hill and co writer david giler try to create characters out of the obvious cliches , but wind up using them as punching bags",0
staggeringly dreadful romance,0
westbrook makes a wonderful subject for the camera,1
"does n't deliver a great story , nor is the action as gripping as in past seagal films",0
"there are things to like about murder by numbers but , in the end , the disparate elements do n't gel",0
"time is a beautiful film to watch , an interesting and at times captivating take on loss and loneliness",1
"lucas has in fact come closer than anyone could desire to the cheap , graceless , hackneyed sci fi serials of the '30s and '40s",0
